,a,b,y
0,0.3745682763308859,0.298920366923399,0.114167988069852
1,0.9507857799879686,0.0948204161602171,0.2751728451125985
2,0.732048972250919,0.1263627445072394,0.1854653890185582
3,0.5987034906344159,0.1806761604875342,0.1528879313202671
4,0.1560303697394504,0.2036590068043219,0.0325644723960272
5,0.1560062478198955,0.2422685570275124,0.0399260384773694
6,0.0580879788255221,0.2554671443958599,0.0247472441027536
7,0.8662412638739737,0.4557290387407517,0.4398687596750226
8,0.601160202859426,0.5095873841759335,0.3105382956938825
9,0.7081258098556817,0.3088878114649034,0.2603344092249853
10,0.0205860418137579,0.9073216912179152,0.2167281534349598
11,0.969982768838492,0.5531551301652438,0.5839274977890783
12,0.8325052228544207,0.787498861949423,0.6605683339952525
13,0.2123550740816859,0.9242635755941015,0.3251835219717497
14,0.1818386365932641,0.1631396584446793,0.0299549453478231
15,0.1834182979877469,0.4278864014781202,0.0940610430967093
16,0.3042651155318261,0.4332224681005945,0.1368986363631572
17,0.5247958822006388,0.3544821236985024,0.194596283475089
18,0.4319774917581677,0.0089061146103728,0.0489231353065393
19,0.2912510344606429,0.8159948353819733,0.308591514982835
20,0.6118988930999496,0.1115624288611808,0.1317354090050557
21,0.1395043476356392,0.9955083254488182,0.3242672017722184
22,0.292166611624654,0.7729800214392758,0.2855710495558771
23,0.3663893859441236,0.5800261728620678,0.2254522036407656
24,0.4561042710194902,0.1546107240572005,0.0938756859730301
25,0.7852349899939121,0.5154073268438608,0.4257920991475667
26,0.1996887933973385,0.2611160136260503,0.053446939820023
27,0.5142730979509967,0.2523295525852448,0.1479175527858074
28,0.5924591058892456,0.8295523545989574,0.5089741460082843
29,0.0464539048071333,0.3806550262038052,0.0459176326722729
30,0.6075905264054402,0.4507363575847088,0.2819179400050069
31,0.170536943489394,0.8429882172207277,0.2585644463234567
32,0.0650564834871656,0.0877930709869424,0.0058805441392323
33,0.9489568733466816,0.5946344152246018,0.5997165346189879
34,0.9657046281496736,0.5782317866502122,0.5999841335006939
35,0.8084581224737717,0.425226412941479,0.3830786601870824
36,0.3046366696765608,0.8297977534755696,0.3239324152524894
37,0.0976794568804911,0.9429163240370896,0.2725630106029318
38,0.6842844663425,0.4653488231031405,0.3326602048724512
39,0.4401855838839319,0.4561597562482317,0.2022260965257861
40,0.1220474095350561,0.5020777138565531,0.0980487240916283
41,0.4952141369261987,0.7231441723015883,0.3736285087806165
42,0.0343911064035973,0.6680788984546797,0.1242110439147309
43,0.909388763712024,0.2228411559196013,0.3226583396058498
44,0.2587994363732212,0.0638971283025449,0.0262097195304382
45,0.6625720919963862,0.949280569779181,0.6539438198900557
46,0.3117345101597478,0.2610770314161886,0.0825862611249773
47,0.5201071192770543,0.6386144717844755,0.3379452942975112
48,0.5467513803760077,0.8284610775652568,0.476025160937314
49,0.1848683526650423,0.3002851142779746,0.059244668035935
50,0.9696575199910704,0.6354511126429344,0.648471187205262
51,0.7751910969307642,0.1079032465386442,0.1962839453119369
52,0.9395695719843662,0.969958460271727,0.917779824213894
53,0.8948946224903948,0.0581598949567782,0.2286143814889502
54,0.5979449282249258,0.4381868784988581,0.2702171723900698
55,0.921943540438684,0.5368341943052918,0.5356226441575973
56,0.088499154813648,0.7905037962747102,0.1944836884309456
57,0.1959975961791397,0.1211318909144044,0.0253136342666623
58,0.0452306890446711,0.4408202518594375,0.0594656822433671
59,0.3253547887130731,0.2997199175320237,0.0983442812576959
60,0.3887065099888028,0.3120194062550448,0.1235891125155096
61,0.2713694314734388,0.7788096079626733,0.2776020859015219
62,0.8287998126585095,0.0054610971377621,0.1751739846009576
